client,street,city,zip,sales_2017,sales_2018,address,tier,sales_potential,trend,h1_2018,h1_2019,lat,lon,account_owner,inpex_mah
Client example 19,,,,,"100,545",example address 19,Tier 1,,Extreme Growth (50+),"1,229","5,103",34.1460223,-118.7694248,Owner example 19,type 1
Client example 20,,,,455,"1,288",example address 20,Tier 4,Moderate,Major Growth (20 to 49),597,816,34.13014,-118.750171,Owner example 20,type 2
Client example 21,,,,,,example address 21,,,,,,34.2780589,-118.7406741,Owner example 21,type 2
Client example 22,,,,,,example address 22,,,,,,35.1409196,-118.6486979,Owner example 22,type 2
Client example 23,,,,,140,example address 23,Tier 3,,Moderate Growth (5 to 19),"3,364","3,819",34.4890156,-118.6256604,Owner example 23,type 1
Client example 24,,,,,"39,105",example address 24,Tier 3,,Extreme Loss (-50+),"24,180","8,875",34.2433983,-118.5836279,Owner example 24,type 1
Client example 25,,,,,1009,example address 25,,Moderate,Extreme Growth (50+),,498,34.162854,-118.5777464,Owner example 25,type 2
Client example 26,,,,2230,173,example address 26,,High,Extreme Loss (-50+),368,81,34.2313062,-118.5735289,Owner example 26,type 2
Client example 27,,,,223,165,example address 27,,High,No Growth (-4 to 4),20,20,34.2211757,-118.5718614,Owner example 27,type 2
Client example 28,,,,374,893,example address 28,,Moderate,Major Growth (20 to 49),453,556,34.1809325,-118.5257382,Owner example 28,type 2
Client example 29,,,,,,example address 29,,Moderate,Extreme Growth (50+),,444,34.1701187,-118.5070834,Owner example 29,type 2
Client example 30,,,,3282,791,example address 30,Tier 4,Low,Major Growth (20 to 49),"1,907","2,395",34.0164984,-118.4864875,Owner example 30,type 2
Client example 31,,,,1963,150,example address 31,Tier 4,High,Extreme Loss (-50+),890,140,34.2109539,-118.4785659,Owner example 31,type 2
Client example 32,,,,,"3,105",example address 32,Tier 4,,No Sales,,,34.2068833,-118.4753661,Owner example 32,type 2
Client example 33,,,,,,example address 33,,,,,,34.0044186,-118.4719572,Owner example 33,type 2
Client example 34,,,,,1694,example address 34,,,No Sales,,,35.1247467,-118.4685582,Owner example 34,type 2
Client example 35,,,,,,example address 35,,,,,,35.1249561,-118.4681248,Owner example 35,type 2
Client example 36,,,,,"15,361",example address 36,Tier 3,,Moderate Loss (-19 to -5),"14,641","13,107",34.2708856,-118.4656852,Owner example 36,type 1
Client example 37,,,,,"37,122",example address 37,Tier 3,,Extreme Loss (-50+),"21,418","9,985",34.2708856,-118.4656852,Owner example 37,type 1
Client example 38,,,,4809,"5,344",example address 38,Tier 4,Moderate,Moderate Loss (-19 to -5),"1,481","1,383",34.4210025,-118.4547869,Owner example 38,type 2
Client example 39,,,,,"59,472",example address 39,Tier 2,,Major Loss (-49 to -20),"27,757","16,702",34.1943841,-118.4462262,Owner example 39,type 1
Client example 40,,,,,145,example address 40,,,Extreme Loss (-50+),20,,34.0633534,-118.445009,Owner example 40,type 2
Client example 41,,,,,,example address 41,,High,Extreme Growth (50+),,172,34.0346042,-118.4449025,Owner example 41,type 2
Client example 42,,,,,"21,730",example address 42,Tier 3,,No Growth (-4 to 4),"9,240","9,284",34.0347218,-118.440647,Owner example 42,type 1
Client example 43,,,,,,example address 43,,,,,,34.0414719,-118.4386032,Owner example 43,type 2
Client example 44,,,,60,,example address 44,,High,Extreme Growth (50+),,20,34.3094342,-118.4320903,Owner example 44,type 2
Client example 45,,,,1394,"4,391",example address 45,Tier 4,Low,Major Loss (-49 to -20),"3,603","2,282",34.2030521,-118.4232015,Owner example 45,type 2
Client example 46,,,,,258,example address 46,,Moderate,Extreme Growth (50+),133,242,34.2042655,-118.422266,Owner example 46,type 2
Client example 47,,,,,,example address 47,,,,,,34.3785737,-118.4194821,Owner example 47,type 2
Client example 48,,,,,,example address 48,,,,,,33.930684,-118.416722,Owner example 48,type 2
Client example 49,,,,,"21,585",example address 49,Tier 3,,Major Loss (-49 to -20),"9,363","6,816",34.0050174,-118.4108003,Owner example 49,type 1
Client example 50,,,,,605,example address 50,,,No Growth (-4 to 4),200,200,34.157933,-118.3961825,Owner example 50,type 1
Client example 51,,,,,"2,621",example address 51,Tier 4,Low,Extreme Growth (50+),,"4,499",34.1732558,-118.391869,Owner example 51,type 2
Client example 52,,,,154,"1,995",example address 52,Tier 4,Moderate,Moderate Loss (-19 to -5),"1,818","1,614",34.0295934,-118.3912757,Owner example 52,type 2
Client example 53,,,,,,example address 53,,High,Extreme Growth (50+),,148,34.0640282,-118.3893585,Owner example 53,type 2
Client example 54,,,,124,520,example address 54,,,Extreme Loss (-50+),375,,34.1723699,-118.3831506,Owner example 54,type 2
Client example 55,,,,186,235,example address 55,,,Extreme Loss (-50+),90,,33.8716235,-118.381222,Owner example 55,type 2
Client example 56,,,,,,example address 56,,,,,,34.1751286,-118.3806228,Owner example 56,type 2
Client example 57,,,,,,example address 57,,,,,,34.0811876,-118.3762577,Owner example 57,type 2
Client example 58,,,,,940,example address 58,,,Extreme Loss (-50+),315,,33.9637734,-118.3751164,Owner example 58,type 2
Client example 59,,,,705,"2,206",example address 59,Tier 4,High,Extreme Growth (50+),664,"1,064",34.1602551,-118.370036,Owner example 59,type 2
Client example 60,,,,,"1,250",example address 60,Tier 4,,No Sales,,,34.0720805,-118.36713,Owner example 60,type 2
Client example 61,,,,888,"23,586",example address 61,Tier 3,Low,Moderate Growth (5 to 19),"9,307","10,809",34.2100608,-118.3629989,Owner example 61,type 2
Client example 62,,,,1007,"3,748",example address 62,Tier 4,High,Moderate Loss (-19 to -5),"2,083","1,740",34.0803292,-118.3616102,Owner example 62,type 2
Client example 63,,,,,"1,974",example address 63,Tier 4,,Extreme Loss (-50+),"1,561",,34.0328403,-118.3523552,Owner example 63,type 1
Client example 64,,,,,,example address 64,,,,,,34.165263,-118.346035,Owner example 64,type 2
Client example 65,,,,,,example address 65,,,,,,35.155833,-118.344654,Owner example 65,type 2
Client example 66,,,,,"1,513",example address 66,Tier 4,High,Extreme Loss (-50+),"1,161",187,34.1687463,-118.3436152,Owner example 66,type 2
Client example 67,,,,819,"2,764",example address 67,Tier 4,High,Major Loss (-49 to -20),"1,753",997,33.9150943,-118.334917,Owner example 67,type 2
Client example 68,,,,,"17,298",example address 68,Tier 3,,Extreme Growth (50+),"3,327","22,895",34.0225287,-118.329118,Owner example 68,type 1
Client example 69,,,,,"15,470",example address 69,Tier 3,,Major Growth (20 to 49),"4,734","5,743",34.1873837,-118.3228641,Owner example 69,type 1
Client example 70,,,,,280,example address 70,,Moderate,Extreme Growth (50+),,793,34.010532,-118.316633,Owner example 70,type 2
Client example 71,,,,1682,"1,996",example address 71,Tier 4,Low,Extreme Growth (50+),952,"2,047",34.0406978,-118.3127017,Owner example 71,type 2
Client example 72,,,,,,example address 72,,,,,,33.7223624,-118.3117274,Owner example 72,type 2
Client example 73,,,,,305,example address 73,,,No Growth (-4 to 4),100,100,33.9848841,-118.3110203,Owner example 73,type 1
Client example 74,,,,,"59,159",example address 74,Tier 2,,Moderate Growth (5 to 19),"33,396","34,947",33.9848841,-118.3110203,Owner example 74,type 1
Client example 75,,,,,"55,755",example address 75,Tier 2,,Major Loss (-49 to -20),"36,121","19,963",33.9848841,-118.3110203,Owner example 75,type 1
Client example 76,,,,,"10,953",example address 76,Tier 3,,Moderate Loss (-19 to -5),"22,986","20,688",33.7520661,-118.2942057,Owner example 76,type 1
Client example 77,,,,,"27,820",example address 77,Tier 3,,Major Loss (-49 to -20),"15,085","7,797",33.7520661,-118.2942057,Owner example 77,type 1
Client example 78,,,,,453,example address 78,,Low,Extreme Growth (50+),,626,33.7385003,-118.2876673,Owner example 78,type 2
Client example 79,,,,,"8,421",example address 79,Tier 4,,Moderate Growth (5 to 19),"21,996","23,210",33.8643279,-118.2774662,Owner example 79,type 1
Client example 80,,,,782,"1,354",example address 80,Tier 4,,Extreme Loss (-50+),"1,229",,34.0221754,-118.2729899,Owner example 80,type 2
Client example 81,,,,903,919,example address 81,,High,Extreme Loss (-50+),750,375,34.1460024,-118.2706375,Owner example 81,type 2
Client example 82,,,,1159,"2,275",example address 82,Tier 4,Moderate,Moderate Loss (-19 to -5),"1,085",951,34.1239795,-118.2681595,Owner example 82,type 2
Client example 83,,,,,374,example address 83,,,Extreme Loss (-50+),249,,34.0591238,-118.2511674,Owner example 83,type 1
Client example 84,,,,,,example address 84,,,,,,34.9428249,-118.2465636,Owner example 84,type 2
Client example 85,,,,,"25,282",example address 85,Tier 3,,Extreme Growth (50+),"11,966","19,320",34.7037667,-118.2232215,Owner example 85,type 1
Client example 86,,,,,"42,709",example address 86,Tier 3,,Extreme Loss (-50+),"22,681","10,616",34.0835506,-118.2188081,Owner example 86,type 1
Client example 87,,,,48228,"53,016",example address 87,Tier 2,Low,Major Growth (20 to 49),"27,661","37,922",34.444314,-118.193396,Owner example 87,type 2
Client example 88,,,,,"52,846",example address 88,Tier 2,,Major Growth (20 to 49),"27,721","37,587",34.444314,-118.193396,Owner example 88,type 1
Client example 89,,,,,,example address 89,,,,,,33.8784636,-118.1814591,Owner example 89,type 2
Client example 90,,,,,"87,421",example address 90,Tier 2,,Moderate Growth (5 to 19),"49,135","51,812",33.8871778,-118.1771172,Owner example 90,type 1
Client example 91,,,,,"3,657",example address 91,Tier 4,,Moderate Loss (-19 to -5),"37,257","30,378",33.9250403,-118.1685843,Owner example 91,type 1
Client example 92,,,,,,example address 92,,,,,,33.971611,-118.1629915,Owner example 92,type 2
Client example 93,,,,,,example address 93,,,,,,33.8514053,-118.1556505,Owner example 93,type 2
Client example 94,,,,,,example address 94,,,,,,33.783703,-118.154258,Owner example 94,type 2
Client example 95,,,,,"131,918",example address 95,Tier 1,,Major Loss (-49 to -20),"67,949","52,407",34.1394215,-118.1490708,Owner example 95,type 1
Client example 96,,,,,236,example address 96,,,Extreme Growth (50+),111,183,33.8500537,-118.1384428,Owner example 96,type 1
Client example 97,,,,760,"1,641",example address 97,Tier 4,High,Extreme Loss (-50+),684,297,34.136711,-118.1319961,Owner example 97,type 2
Client example 98,,,,,,example address 98,,,,,,33.8821364,-118.1243793,Owner example 98,type 2
Client example 99,,,,,"33,861",example address 99,Tier 3,,Major Loss (-49 to -20),"15,594","10,668",34.5828179,-118.1167225,Owner example 99,type 1
Client example 100,,,,,"149,913",example address 100,Tier 1,,Major Growth (20 to 49),"61,498","76,584",33.9223145,-118.1123136,Owner example 100,type 1
Client example 101,,,,500,,example address 101,,,,,,33.8161271,-118.1090217,Owner example 101,type 2
Client example 102,,,,,374,example address 102,,,Extreme Loss (-50+),249,,33.9827395,-118.0996758,Owner example 102,type 1
Client example 103,,,,,"27,828",example address 103,Tier 3,,Extreme Loss (-50+),"10,828",,33.9693919,-118.0976134,Owner example 103,type 1
Client example 104,,,,,,example address 104,,High,Extreme Growth (50+),,20,33.8691168,-118.0895436,Owner example 104,type 2
Client example 105,,,,,"53,480",example address 105,Tier 2,,Extreme Growth (50+),"23,359","35,192",34.0921103,-118.0886439,Owner example 105,type 1
Client example 106,,,,,305,example address 106,,,Extreme Loss (-50+),352,,34.1532227,-118.0829587,Owner example 106,type 2
Client example 107,,,,2231,"1,803",example address 107,Tier 4,High,Extreme Loss (-50+),"1,380",350,33.8094986,-118.0826868,Owner example 107,type 2
Client example 108,,,,,"16,777",example address 108,Tier 3,,Major Growth (20 to 49),"6,838","9,220",33.8094986,-118.0826868,Owner example 108,type 1
Client example 109,,,,177,332,example address 109,,High,Extreme Loss (-50+),207,22,33.7976003,-118.0712981,Owner example 109,type 2
Client example 110,,,,,,example address 110,,,,,,34.0512656,-118.0530965,Owner example 110,type 2
Client example 111,,,,62,,example address 111,,,,,,33.8023276,-118.0464876,Owner example 111,type 2
Client example 112,,,,1043,"1,723",example address 112,Tier 4,Moderate,Major Growth (20 to 49),794,"1,074",34.1188586,-118.01015,Owner example 112,type 2
Client example 113,,,,684,552,example address 113,,Moderate,Major Loss (-49 to -20),319,176,34.1242153,-118.0034806,Owner example 113,type 2
Client example 114,,,,217,256,example address 114,,High,Major Loss (-49 to -20),111,60,33.8899972,-117.9897647,Owner example 114,type 2
Client example 115,,,,,,example address 115,,,,,,33.6485255,-117.9793102,Owner example 115,type 2
Client example 116,,,,,"61,985",example address 116,Tier 2,,Moderate Growth (5 to 19),"25,465","28,402",33.7897691,-117.9676883,Owner example 116,type 1
Client example 117,,,,999,,example address 117,,,,,,33.6923132,-117.9546927,Owner example 117,type 2
Client example 118,,,,,"65,919",example address 118,Tier 2,,Major Loss (-49 to -20),"42,811","29,738",34.091344,-117.9511622,Owner example 118,type 1
Client example 119,,,,1154,1061,example address 119,,Moderate,Major Loss (-49 to -20),458,305,33.9463839,-117.9467531,Owner example 119,type 2
Client example 120,,,,1468,"1,445",example address 120,Tier 4,High,Extreme Loss (-50+),689,170,33.8546562,-117.9451637,Owner example 120,type 2
Client example 121,,,,,"19,759",example address 121,Tier 3,,Major Loss (-49 to -20),"10,566","7,535",34.926393,-117.937676,Owner example 121,type 1
Client example 122,,,,604,625,example address 122,,,No Sales,,,33.9372225,-117.9279895,Owner example 122,type 2
Client example 123,,,,,423,example address 123,,,No Sales,,,33.6218542,-117.9243967,Owner example 123,type 2
Client example 124,,,,,,example address 124,,,,,,33.8006757,-117.9032398,Owner example 124,type 2
Client example 125,,,,4626,"5,523",example address 125,Tier 4,Low,No Growth (-4 to 4),"2,862","2,914",33.6988022,-117.8956749,Owner example 125,type 2
Client example 126,,,,,"7,095",example address 126,Tier 4,,Extreme Growth (50+),,"5,885",33.7805894,-117.8885337,Owner example 126,type 1
Client example 127,,,,155,135,example address 127,,,No Sales,,,34.5671882,-117.8851042,Owner example 127,type 2
Client example 128,,,,4716,"5,011",example address 128,Tier 4,Moderate,Moderate Loss (-19 to -5),"2,740","2,392",33.6232588,-117.8803623,Owner example 128,type 2
Client example 129,,,,,,example address 129,,,,,,33.8033299,-117.8365139,Owner example 129,type 2
Client example 130,,,,,"22,886",example address 130,Tier 3,,Extreme Growth (50+),,"52,509",33.8979606,-117.8319452,Owner example 130,type 1
Client example 131,,,,,,example address 131,,,,,,33.6007582,-117.8278448,Owner example 131,type 2
Client example 132,,,,75,,example address 132,,,,,,33.6767059,-117.81461,Owner example 132,type 2
Client example 133,,,,,"167,426",example address 133,Tier 1,,Moderate Loss (-19 to -5),"97,860","86,855",34.0525361,-117.7902004,Owner example 133,type 1
Client example 134,,,,6067,"18,935",example address 134,Tier 3,Moderate,Moderate Loss (-19 to -5),"11,059","9,148",33.6751145,-117.7636791,Owner example 134,type 2
Client example 135,,,,2121,"1,666",example address 135,Tier 4,Moderate,Moderate Growth (5 to 19),531,625,33.5729488,-117.7624671,Owner example 135,type 2
Client example 136,,,,728,499,example address 136,,Moderate,Extreme Growth (50+),198,407,34.0748735,-117.7564412,Owner example 136,type 2
Client example 137,,,,,,example address 137,,,,,,33.9559835,-117.7130308,Owner example 137,type 2
Client example 138,,,,,,example address 138,,,,,,34.0931316,-117.7036819,Owner example 138,type 2
Client example 139,,,,362,385,example address 139,,Moderate,Major Loss (-49 to -20),260,195,34.0365265,-117.6879421,Owner example 139,type 2
Client example 140,,,,135,145,example address 140,,High,Extreme Growth (50+),,20,34.0322557,-117.677264,Owner example 140,type 2
Client example 141,,,,,,example address 141,,,,,,34.1273143,-117.6757058,Owner example 141,type 2
Client example 142,,,,584,579,example address 142,,Moderate,Extreme Growth (50+),214,324,33.5603915,-117.6702157,Owner example 142,type 2
Client example 143,,,,370,722,example address 143,,Moderate,Major Loss (-49 to -20),476,242,33.5983473,-117.6650729,Owner example 143,type 2
Client example 144,,,,,,example address 144,,,,,,33.6473481,-117.6649812,Owner example 144,type 2
Client example 145,,,,,,example address 145,,,,,,33.4956339,-117.6620838,Owner example 145,type 2
Client example 146,,,,4369,"6,206",example address 146,Tier 4,Moderate,Extreme Loss (-50+),"4,228","1,654",33.5539595,-117.6609249,Owner example 146,type 2
Client example 147,,,,,,example address 147,,High,Extreme Growth (50+),,"1,000",35.6162857,-117.6349476,Owner example 147,type 2
Client example 148,,,,6473,"10,758",example address 148,Tier 3,Moderate,Extreme Loss (-50+),"6,773","1,998",34.0545746,-117.6346145,Owner example 148,type 2
Client example 149,,,,6255,"5,791",example address 149,Tier 4,Moderate,Extreme Growth (50+),"2,505","8,437",34.1044091,-117.6331704,Owner example 149,type 2
Client example 150,,,,,,example address 150,,,,,,34.1044091,-117.6331704,Owner example 150,type 2
Client example 151,,,,1832,"1,846",example address 151,Tier 4,Moderate,Extreme Growth (50+),600,"1,101",33.4419017,-117.5841376,Owner example 151,type 2
Client example 152,,,,,"19,972",example address 152,Tier 3,,No Growth (-4 to 4),"11,361","11,534",33.8803266,-117.5821346,Owner example 152,type 1
Client example 153,,,,,625,example address 153,,,Extreme Loss (-50+),500,,33.8803266,-117.5821346,Owner example 153,type 2
Client example 154,,,,,"7,995",example address 154,Tier 4,,No Growth (-4 to 4),"6,020","5,934",33.8924526,-117.5713211,Owner example 154,type 1
Client example 155,,,,8924,"7,935",example address 155,Tier 4,Moderate,Major Loss (-49 to -20),"2,826","1,958",33.9231926,-117.561814,Owner example 155,type 2
Client example 156,,,,40,,example address 156,,,,,,33.861541,-117.549115,Owner example 156,type 2
Client example 157,,,,,"53,121",example address 157,Tier 2,,Moderate Loss (-19 to -5),"22,835","21,620",34.0995094,-117.5484506,Owner example 157,type 1
Client example 158,,,,,,example address 158,,,,,,34.1166166,-117.5350781,Owner example 158,type 2
Client example 159,,,,124,156,example address 159,,,Extreme Loss (-50+),20,,33.8380343,-117.5340875,Owner example 159,type 2
Client example 160,,,,4462,"1,876",example address 160,Tier 4,,Extreme Loss (-50+),178,,33.9389438,-117.529102,Owner example 160,type 2
Client example 161,,,,,,example address 161,,,,,,33.9754396,-117.5245794,Owner example 161,type 2
Client example 162,,,,177,211,example address 162,,Moderate,Major Loss (-49 to -20),86,60,34.1426993,-117.5067917,Owner example 162,type 2
Client example 163,,,,20,,example address 163,,,,,,33.817787,-117.501882,Owner example 163,type 2
Client example 164,,,,207,,example address 164,,,,,,33.9461015,-117.470642,Owner example 164,type 2
Client example 165,,,,1364,"1,679",example address 165,Tier 4,High,Extreme Loss (-50+),650,181,33.9714114,-117.4694262,Owner example 165,type 2
Client example 166,,,,,"116,330",example address 166,Tier 1,,Major Loss (-49 to -20),"58,307","38,129",33.9667317,-117.4676495,Owner example 166,type 1
Client example 167,,,,,"26,026",example address 167,Tier 3,,Major Loss (-49 to -20),"13,679","8,733",33.9662014,-117.4369995,Owner example 167,type 1
Client example 168,,,,,"49,143",example address 168,Tier 3,,Major Loss (-49 to -20),"14,974","11,287",34.1915882,-117.3739255,Owner example 168,type 1
Client example 169,,,,,"25,476",example address 169,Tier 3,,Major Loss (-49 to -20),"13,518","10,012",33.2093643,-117.3532697,Owner example 169,type 1
Client example 170,,,,,"191,341",example address 170,Tier 1,,Moderate Growth (5 to 19),"22,286","25,115",33.2093643,-117.3532697,Owner example 170,type 1
Client example 171,,,,,,example address 171,,,,,,33.1614432,-117.3492087,Owner example 171,type 2
Client example 172,,,,,961,example address 172,,,Extreme Loss (-50+),458,,33.9341715,-117.3456781,Owner example 172,type 2
Client example 173,,,,,"101,750",example address 173,Tier 1,,Major Loss (-49 to -20),"51,081","40,883",33.6826825,-117.344732,Owner example 173,type 1
Client example 174,,,,,,example address 174,,,,,,33.6902045,-117.3424124,Owner example 174,type 2
Client example 175,,,,,"2,965",example address 175,Tier 4,,Extreme Loss (-50+),"2,117",559,33.3169258,-117.3420936,Owner example 175,type 1
Client example 176,,,,,725,example address 176,,,Extreme Loss (-50+),360,180,33.3169258,-117.3420936,Owner example 176,type 1
Client example 177,,,,,,example address 177,,,,,,33.8898518,-117.3223326,Owner example 177,type 2
Client example 178,,,,,"40,101",example address 178,Tier 3,,Moderate Growth (5 to 19),"18,870","21,742",33.3178416,-117.3205123,Owner example 178,type 1
Client example 179,,,,2719,"8,575",example address 179,Tier 4,Moderate,Moderate Growth (5 to 19),"3,130","3,730",33.2288078,-117.3177115,Owner example 179,type 2
Client example 180,,,,,"14,267",example address 180,Tier 3,,Major Growth (20 to 49),"7,235","8,859",34.4507909,-117.2919054,Owner example 180,type 1
Client example 181,,,,,374,example address 181,,,Extreme Loss (-50+),249,,34.4507909,-117.2919054,Owner example 181,type 1
Client example 182,,,,,"118,509",example address 182,Tier 1,,Major Loss (-49 to -20),"57,626","38,196",33.6316706,-117.2912625,Owner example 182,type 1
Client example 183,,,,,"10,650",example address 183,Tier 3,,Major Loss (-49 to -20),"6,811","5,100",34.0803744,-117.2899767,Owner example 183,type 1
Client example 184,,,,,"17,029",example address 184,Tier 3,,Extreme Growth (50+),"12,285","24,207",34.0772178,-117.2881169,Owner example 184,type 1
Client example 185,,,,,374,example address 185,,,Extreme Loss (-50+),249,,34.1053534,-117.2869918,Owner example 185,type 1
Client example 186,,,,,"9,587",example address 186,Tier 4,,Major Growth (20 to 49),"4,369","5,555",34.1053534,-117.2869918,Owner example 186,type 1
Client example 187,,,,,"18,539",example address 187,Tier 3,,Moderate Growth (5 to 19),"9,104","10,075",33.0429252,-117.2844628,Owner example 187,type 1
Client example 188,,,,665,"3,040",example address 188,Tier 4,Low,Extreme Loss (-50+),"1,723",821,32.835061,-117.276592,Owner example 188,type 2
Client example 189,,,,,"10,635",example address 189,Tier 3,,Extreme Growth (50+),,"3,098",33.1271736,-117.2717447,Owner example 189,type 1
Client example 190,,,,,"83,407",example address 190,Tier 2,,Moderate Loss (-19 to -5),"43,853","40,451",33.9156583,-117.2709642,Owner example 190,type 1
Client example 191,,,,1699,"2,343",example address 191,Tier 4,Moderate,Extreme Loss (-50+),891,214,33.9481389,-117.2618303,Owner example 191,type 2
Client example 192,,,,577,492,example address 192,,High,Extreme Loss (-50+),279,22,33.7096414,-117.251238,Owner example 192,type 2
Client example 193,,,,144,136,example address 193,,High,Extreme Growth (50+),11,20,32.7501304,-117.240826,Owner example 193,type 2
Client example 194,,,,,,example address 194,,,,,,32.7230081,-117.2308129,Owner example 194,type 2
Client example 195,,,,1727,"1,595",example address 195,Tier 4,High,Extreme Loss (-50+),933,360,33.5435288,-117.227643,Owner example 195,type 2
Client example 196,,,,,,example address 196,,High,Extreme Growth (50+),,17,34.5270766,-117.2199799,Owner example 196,type 2
Client example 197,,,,994,395,example address 197,,Moderate,Extreme Growth (50+),270,470,32.7509746,-117.2169314,Owner example 197,type 2
Client example 198,,,,,"32,074",example address 198,Tier 3,,Moderate Growth (5 to 19),"15,326","16,640",34.5243014,-117.2144307,Owner example 198,type 1
Client example 199,,,,,,example address 199,,,,,,33.664434,-117.213163,Owner example 199,type 2
Client example 200,,,,,374,example address 200,,,Extreme Loss (-50+),249,,34.0595889,-117.2041519,Owner example 200,type 1
Client example 201,,,,,"9,771",example address 201,Tier 4,,Extreme Growth (50+),"1,659","5,600",34.0595889,-117.2041519,Owner example 201,type 1
Client example 202,,,,,406,example address 202,,,No Sales,,,33.640982,-117.198008,Owner example 202,type 2
Client example 203,,,,124,145,example address 203,,Moderate,Extreme Growth (50+),,40,33.6420715,-117.1966445,Owner example 203,type 2
Client example 204,,,,,"28,592",example address 204,Tier 3,,Major Loss (-49 to -20),"6,249","3,791",32.9969533,-117.1950959,Owner example 204,type 1
Client example 205,,,,,,example address 205,,,Moderate Growth (5 to 19),"8,457","9,384",32.9969533,-117.1950959,Owner example 205,type 1
Client example 206,,,,,374,example address 206,,,Extreme Loss (-50+),249,,32.7658009,-117.1944275,Owner example 206,type 1
Client example 207,,,,,"17,383",example address 207,Tier 3,,Extreme Loss (-50+),"10,510",,32.7658009,-117.1944275,Owner example 207,type 1
Client example 208,,,,,"53,318",example address 208,Tier 2,,Extreme Growth (50+),"59,175","156,836",32.7656684,-117.1941613,Owner example 208,type 1
Client example 209,,,,,,example address 209,,,,,,32.8363945,-117.191706,Owner example 209,type 2
Client example 210,,,,,"28,996",example address 210,Tier 3,,No Growth (-4 to 4),"14,478","14,301",34.536312,-117.187188,Owner example 210,type 1
Client example 211,,,,,1124,example address 211,,Moderate,Extreme Growth (50+),,"1,723",32.7942169,-117.1810945,Owner example 211,type 2
Client example 212,,,,873,874,example address 212,,Moderate,Moderate Growth (5 to 19),250,280,33.6831035,-117.1700328,Owner example 212,type 2
Client example 213,,,,,1085,example address 213,,,Extreme Loss (-50+),960,,33.683609,-117.1676566,Owner example 213,type 1
Client example 214,,,,,,example address 214,,,,,,32.8038217,-117.1580695,Owner example 214,type 2
Client example 215,,,,1545,"1,708",example address 215,Tier 4,Moderate,Extreme Growth (50+),"1,233","1,861",32.7424152,-117.1494074,Owner example 215,type 2
Client example 216,,,,444,506,example address 216,,Moderate,Extreme Growth (50+),,348,32.7503038,-117.1466554,Owner example 216,type 2
Client example 217,,,,,721,example address 217,,,Extreme Loss (-50+),596,,32.7264532,-117.1455726,Owner example 217,type 1
Client example 218,,,,11,,example address 218,,,,,,33.8043803,-117.1402854,Owner example 218,type 2
Client example 219,,,,,,example address 219,,,,,,33.5506449,-117.1389522,Owner example 219,type 2
Client example 220,,,,,,example address 220,,,,,,32.7178338,-117.1336921,Owner example 220,type 2
Client example 221,,,,,"75,036",example address 221,Tier 2,,No Growth (-4 to 4),"40,870","39,187",32.8874404,-117.1284105,Owner example 221,type 1
Client example 222,,,,20,,example address 222,,,,,,32.8874404,-117.1284105,Owner example 222,type 2
